OBJECTID,Shape_Leng,GroupCount,vertex_ind,vertex_par,vertex_p_1,distance,angle,x,y
"2118",2358.69719864000,2.000000,"0","0","0",0.00000000000000,306.41082650527767,-2984.50660,6850831.22060
"2118",2358.69719864000,2.000000,"1","0","1",836.98180571603029,305.36752514223622,-3658.09420,6851328.02870
"2118",2358.69719864000,2.000000,"2","0","2",1179.33270066965679,304.32166601321876,-3940.82810,6851521.07190
"2118",2358.69719864000,2.000000,"3","0","3",2358.69719864292802,304.31910824724270,-4914.87740,6852185.99940
"2119",121.86403580300,2.000000,"0","0","0",0.00000000000000,305.60368550758659,-4914.87740,6852185.99940
"2119",121.86403580300,2.000000,"1","0","1",60.93645980930752,305.59401756258444,-4964.42260,6852221.47510
"2119",121.86403580300,2.000000,"2","0","2",94.43031020742713,305.58400724597072,-4991.66180,6852240.96520
"2119",121.86403580300,2.000000,"3","0","3",100.94785242139056,305.60285309673884,-4996.96230,6852244.75770
"2119",121.86403580300,2.000000,"4","0","4",113.24036768106602,305.68246445681274,-5006.95460,6852251.91730
"2119",121.86403580300,2.000000,"5","0","5",115.01577113196655,305.63785122058249,-5008.39560,6852252.95440
"2119",121.86403580300,2.000000,"6","0","6",121.86403580292288,305.53281484665791,-5013.96860,6852256.93440
"2120",27.69195025760,2.000000,"0","0","0",0.00000000000000,305.60478319074224,-5013.96860,6852256.93440
"2120",27.69195025760,2.000000,"1","0","1",13.84597512664608,305.60478320327593,-5025.22610,6852264.99540
"2120",27.69195025760,2.000000,"2","0","2",27.69195025762981,305.60478321580956,-5036.48360,6852273.05640
"2121",75.79770364640,2.000000,"0","0","0",0.00000000000000,305.59937503837432,-5036.48360,6852273.05640
"2121",75.79770364640,2.000000,"1","0","1",37.89205579303411,305.59230033111885,-5067.29390,6852295.11390
"2121",75.79770364640,2.000000,"2","0","2",75.79770364636762,305.58522562386344,-5098.12070,6852317.17170
"2122",1384.23241014000,3.000000,"0","0","0",0.00000000000000,305.17357408727281,-5098.12070,6852317.17170
"2122",1384.23241014000,3.000000,"1","0","1",692.14804583115381,305.17118619713284,-5663.88990,6852715.88730
"2122",1384.23241014000,3.000000,"2","0","2",912.50535934395361,303.64733854792445,-5844.02290,6852842.81030
"2122",1384.23241014000,3.000000,"3","0","3",1083.37170326576711,300.20274075809817,-5988.72650,6852933.67380
"2122",1384.23241014000,3.000000,"4","0","4",1384.23241013848110,298.27960272734032,-6253.67830,6853076.21400
"2123",142.10364223600,3.000000,"0","0","0",0.00000000000000,307.09524980614430,-7218.00500,6853832.13100
"2123",142.10364223600,3.000000,"1","0","1",71.06304965961212,307.09350299749963,-7274.68730,6853874.99210
"2123",142.10364223600,3.000000,"2","0","2",142.10364223607559,307.09175618885496,-7331.35430,6853917.83620
"2124",190.05489321400,1.000000,"0","0","0",0.00000000000000,302.28639515606915,-7331.35430,6853917.83620
"2124",190.05489321400,1.000000,"1","0","1",14.11078729399438,302.25779670689838,-7343.28340,6853925.37350
"2124",190.05489321400,1.000000,"2","0","2",28.21315968915992,303.41192436322427,-7355.21290,6853932.89440
"2124",190.05489321400,1.000000,"3","0","3",109.12929076715396,304.59926179419762,-7421.82220,6853978.83590
"2124",190.05489321400,1.000000,"4","0","4",190.05489321386077,304.60387311967440,-7488.43190,6854024.79350
"2125",165.02322677300,3.000000,"0","0","0",0.00000000000000,293.69092624660982,-7488.43190,6854024.79350
"2125",165.02322677300,3.000000,"1","0","1",82.50839273015164,293.69593552764923,-7563.98700,6854057.94560
"2125",165.02322677300,3.000000,"2","0","2",165.02322677283200,293.70094480868863,-7639.54220,6854091.11350
"2126",7.34112324684,2.000000,"0","0","0",0.00000000000000,290.25076153080590,-7639.54220,6854091.11350
"2126",7.34112324684,2.000000,"1","0","1",3.67059122694675,290.25176388062403,-7642.98590,6854092.38400
"2126",7.34112324684,2.000000,"2","0","2",7.34112324683827,290.25276623044215,-7646.42950,6854093.65460
"2127",319.04578775300,2.000000,"0","0","0",0.00000000000000,290.09443321540425,-7646.42950,6854093.65460
"2127",319.04578775300,2.000000,"1","0","1",159.53007244779764,290.09486017655843,-7796.24860,6854148.46410
"2127",319.04578775300,2.000000,"2","0","2",319.04578775300826,290.09528713771260,-7946.05340,6854203.27090
"2128",159.83931636400,1.000000,"0","0","0",0.00000000000000,288.97027752840864,-7946.05340,6854203.27090
"2128",159.83931636400,1.000000,"1","0","1",54.59034704466398,288.97828390416197,-7997.67880,6854221.01700
"2128",159.83931636400,1.000000,"2","0","2",109.18583540107679,293.70064362301798,-8049.30410,6854238.77920
"2128",159.83931636400,1.000000,"3","0","3",134.51248793183109,298.41488931783437,-8071.57950,6854250.83100
"2128",159.83931636400,1.000000,"4","0","4",159.83931636399885,298.41478166954806,-8093.85510,6854262.88280
"2129",164.61015086800,1.000000,"0","0","0",0.00000000000000,316.51338298843092,-6253.67830,6853076.21400
"2129",164.61015086800,1.000000,"1","0","1",82.31055548608282,316.51715253496667,-6310.32320,6853135.93320
"2129",164.61015086800,1.000000,"2","0","2",164.61015086800393,316.52092208150248,-6366.95270,6853195.65190
"2130",472.56080703500,3.000000,"0","0","0",0.00000000000000,316.59015752565989,-6366.95270,6853195.65190
"2130",472.56080703500,3.000000,"1","0","1",176.62940183313830,316.59901896295270,-6488.33460,6853323.96550
"2130",472.56080703500,3.000000,"2","0","2",182.47594136834712,310.63991847918754,-6492.35110,6853328.21400
"2130",472.56080703500,3.000000,"3","0","3",236.32307696085317,304.67757121360148,-6536.63620,6853358.84640
"2130",472.56080703500,3.000000,"4","0","4",472.56080703516210,304.68318586907350,-6730.89710,6853493.27470
"2131",180.47988362500,3.000000,"0","0","0",0.00000000000000,305.48403273425248,-6730.89710,6853493.27470
"2131",180.47988362500,3.000000,"1","0","1",24.43442738917766,305.48403273171715,-6750.79350,6853507.45830
"2131",180.47988362500,3.000000,"2","0","2",48.86885478138874,305.48189156278079,-6770.68990,6853521.64190
"2131",180.47988362500,3.000000,"3","0","3",68.26600381919944,305.47978493354981,-6786.48540,6853532.90030
"2131",180.47988362500,3.000000,"4","0","4",87.66329232865014,304.69475798467874,-6802.28100,6853544.15880
"2131",180.47988362500,3.000000,"5","0","5",134.07836639882066,303.91495124808790,-6840.80170,6853570.05310
"2131",180.47988362500,3.000000,"6","0","6",180.47988362517549,303.92020599753823,-6879.30640,6853595.94690
"2132",243.45872652300,2.000000,"0","0","0",0.00000000000000,306.11068530613835,-6879.30640,6853595.94690
"2132",243.45872652300,2.000000,"1","0","1",5.70852114957094,306.11057563207237,-6883.91820,6853599.31120
"2132",243.45872652300,2.000000,"2","0","2",11.41690257411647,306.03636741830525,-6888.52990,6853602.67540
"2132",243.45872652300,2.000000,"3","0","3",31.55900976171805,305.96223728149056,-6904.83300,6853614.50390
"2132",243.45872652300,2.000000,"4","0","4",51.70097728134212,304.57627099180780,-6921.13600,6853626.33230
"2132",243.45872652300,2.000000,"5","0","5",123.06218306373358,303.18455064091495,-6980.85510,6853665.39700
"2132",243.45872652300,2.000000,"6","0","6",194.41527838439205,302.01842677216314,-7040.57530,6853704.44520
"2132",243.45872652300,2.000000,"7","0","7",218.93695953068243,300.85802864861000,-7061.62570,6853717.02270
"2132",243.45872652300,2.000000,"8","0","8",243.45872652313591,300.85796873548492,-7082.67620,6853729.60020
"2133",124.52815909200,2.000000,"0","0","0",0.00000000000000,15.50536048800117,-7082.67620,6853729.60020
"2133",124.52815909200,2.000000,"1","0","1",8.78357426185330,338.47540782292134,-7080.32810,6853738.06410
"2133",124.52815909200,2.000000,"2","0","2",66.66219049386262,301.43483040378391,-7129.70650,6853768.25860
"2133",124.52815909200,2.000000,"3","0","3",84.75259976405148,295.84892648324563,-7145.14360,6853777.69040
"2133",124.52815909200,2.000000,"4","0","4",124.52815909193896,290.27364731676494,-7182.45500,6853791.47280
"2134",54.00825609990,1.000000,"0","0","0",0.00000000000000,318.83477300100628,-7182.45500,6853791.47280
"2134",54.00825609990,1.000000,"1","0","1",27.00412805115520,318.83477300398141,-7200.23000,6853811.80190
"2134",54.00825609990,1.000000,"2","0","2",54.00825609985828,318.83477300695660,-7218.00500,6853832.13100
"2135",9.34686702484,2.000000,"0","0","0",0.00000000000000,107.44368556807834,5474.75440,6853326.23980
"2135",9.34686702484,2.000000,"1","0","1",4.68128261409128,107.47075925656787,5479.22040,6853324.83650
"2135",9.34686702484,2.000000,"2","0","2",9.34686702483802,107.49783294505743,5483.67010,6853323.43370
"2136",316.97421241800,2.000000,"0","0","0",0.00000000000000,20.80465436681245,-8553.93600,6854503.57780
"2136",316.97421241800,2.000000,"1","0","1",110.19421234039795,13.77869962283990,-8514.79690,6854606.58700
"2136",316.97421241800,2.000000,"2","0","2",158.13911452158908,6.74741965842479,-8509.15930,6854654.19930
"2136",316.97421241800,2.000000,"3","0","3",316.97421241784923,6.74209443798220,-8490.51200,6854811.93600
"2137",81.38909610750,2.000000,"0","0","0",0.00000000000000,316.87356881693643,-8093.85510,6854262.88280
"2137",81.38909610750,2.000000,"1","0","1",40.68866504991226,316.88161418834301,-8121.67030,6854292.57930
"2137",81.38909610750,2.000000,"2","0","2",81.38909610747612,316.88965955974965,-8149.48520,6854322.29220
"2138",37.19952957540,1.000000,"0","0","0",0.00000000000000,322.23589178697983,-8149.48520,6854322.29220
"2138",37.19952957540,1.000000,"1","0","1",10.46501448845368,322.23589178697983,-8155.89410,6854330.56520
"2138",37.19952957540,1.000000,"2","0","2",20.93002897690736,327.20925738467940,-8162.30300,6854338.83820
"2138",37.19952957540,1.000000,"3","0","3",29.05766248355942,332.21063184056470,-8166.09580,6854346.02660
"2138",37.19952957540,1.000000,"4","0","4",37.19952957542538,332.23864069875026,-8169.88820,6854353.23130
"2139",416.97849547500,3.000000,"0","0","0",0.00000000000000,303.99464058075176,-8169.88820,6854353.23130
"2139",416.97849547500,3.000000,"1","0","1",121.06660925509308,296.87436671973165,-8270.26330,6854420.92150
"2139",416.97849547500,3.000000,"2","0","2",208.53230130482589,289.75723804868318,-8352.58180,6854450.48350
"2139",416.97849547500,3.000000,"3","0","3",252.24971140607599,286.60432794441726,-8393.72490,6854465.26380
"2139",416.97849547500,3.000000,"4","0","4",390.93810820582883,283.45084286772914,-8528.61050,6854497.51820
"2139",416.97849547500,3.000000,"5","0","5",395.60897966420680,283.47596758486696,-8533.15320,6854498.60490
"2139",416.97849547500,3.000000,"6","0","6",401.68214514207409,283.33875315670122,-8539.05860,6854500.02250
"2139",416.97849547500,3.000000,"7","0","7",404.59845312477398,283.34029293846834,-8541.89810,6854500.68740
"2139",416.97849547500,3.000000,"8","0","8",416.97849547482406,283.50160164798956,-8553.93600,6854503.57780
"2140",712.16682407400,2.000000,"0","0","0",0.00000000000000,7.09940081928380,-8458.43670,6855043.79670
"2140",712.16682407400,2.000000,"1","0","1",201.58490501486989,7.09951218594289,-8433.52260,6855243.83610
"2140",712.16682407400,2.000000,"2","0","2",403.17484549971238,7.21698934162418,-8408.60710,6855443.88040
"2140",712.16682407400,2.000000,"3","0","3",557.67666781381922,7.33773721436798,-8388.88350,6855597.11810
